"_id","name","agency","category","compartments","relatedItemsParents","relatedItemsChildren","relatedItems","family","status","links","description"
"XTMAbzySABfP2mrdo","ENTOURAGE","NSA","program","","","","[[HOLLOWPOINT]]","collect","unknown","http://cryptome.org/2013/09/nsa-bullrun-brief-propublica-13-0905.pdf|cryptome.org - nsa-bullrun-brief-propublica-13-0905.pdf,http://cryptome.org/2013/09/nsa-bullrun-brief-propublica-13-0905.pdf|cryptome.org - nsa-bullrun-brief-propublica-13-0905.pdf,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","Application for the [[HOLLOWPOINT]] platform, including band-specific antennas and a laptop for the command and control. Controllable via gibabit Ethernet Future plans (circa 2008) included WiFi, WiMAX and LTE."
"io5cCMFjAajf9XtjR","FISHBOWL","NSA","program","","","","","process","unknown","http://en.wikipedia.org/wiki/Fishbowl_%28secure_phone%29 , en.wikipedia.org - ,http://www.theverge.com/2012/3/2/2838729/nsa-project-fishbowl-secure-android-devices-network,.theverge.com - NSA talks Project Fishbowl: secure Android devices on a secure network","FISHBOWL is a mobile phone architecture developed by the NSA to provide a secure Voice over IP (VoIP) capability using commercial grade products that can be approved to communicate classified information. It is the first phase of NSA's Enterprise Mobility Architecture. The initial version was implemented using Google's Android operating system, modified to ensure central control of the phone's configuration at all times. To minimize the chance of compromise, the phones use two layers of encryption protocols, IPsec and SRTP, and employ NSA's Suite B encryption and authentication algorithms."
"ekiugMH5GdcYJ4Ap6","FOXTRAIL","undefined","program","","","","[[FOXACID]],[[FOXSEARCH]]","collect","unknown","","perhaps a link with [[FOXACID]] or [[FOXSEARCH]] ?"
"atSyugfpeWcqYc4Gb","FRIEZERAMP","NSA","attack vector","","","","","network","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","A communications protocol that certain infected devices use to communicate with the NSA. It involves HTTPS link. see also: [[TOTEGHOSTLY]]"
"Cd937FTrFSosxF3uk","FRONTO","NSA","program","","","","","collect","unknown","http://www.intrepidreport.com/archives/8588,intrepidreport.com - Senate delivers fatal end-of-term blow to Constitution","SIGINT Exchange Designators with Third or Fourth Parties."
"WA6QZwM87MyZgjHuy","GENESIS","NSA","Program","","","","","Collect","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","A spectrum analyzer tool, for covertly collecting and locating signals. A modified Motorola handset. Information downloaded to a laptop via ethernet port."
"4wCQJpYv2xWgFCc8y","GHOSTMACHINE","NSA","program","","","","","process","unknown","http://cryptome.org/2013/12/nsa-ghost-machine.pdf,Cryptome.org - nsa-ghost-machine","[[GHOSTMACHINE]] is the NSA's [[SSO]] (Special Source Operations) cloud analytics platform."
"bxx4hbjjFGBn3bSyo","HAMMERMILL","NSA","program","","","","[[HEADWATER]]","process","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames,http://leaksource.files.wordpress.com/2013/12/nsa-ant-headwater.jpg,leaksource - TAO's Page Catalog with Graphics","HAMMERMILL Insertion Tool (HIT) is command and control system, designed by DNT for exploited Huawei routers"
"7enRZCpvYbcGeZP3u","HAWKEYE","NSA","program","","","","","database","unknown","http://www.intrepidreport.com/archives/8588,intrepidreport.com - Senate delivers fatal end-of-term blow to Constitution","one of the world%u2019s largest databases, and the firm%u2019s 312 terabyte HAWKEYE database, containing every domestic telephone communication from 2001."
"N3SieDurwCWma9qir","BOUNDLESSINFORMANT","NSA","program","[[TOP SECRET]],[[NOFORN]],[[FOUO]],[[FISA]]","[[PRISM]]","[[FASCIA]]","[[PRISM]],[[FASCIA]]","process","active","https://en.wikipedia.org/wiki/Boundless_Informant,en.wikipedia.org - Boundless Informant,http://www.theguardian.com/world/2013/jun/08/nsa-boundless-informant-global-datamining,The Guardian - Boundless Informant: the NSA's secret tool to track global surveillance data","BOUNDLESSINFORMANT is a big data analysis and data visualization system used by the NSA to give managers summaries of the NSA's world wide data collection activities. According to a Top Secret heat map display also published by The Guardian and produced by the Boundless Informant program, almost 3 billion data elements from inside the United States were captured by the NSA over a 30-day period ending in March 2013.Data analyzed by BOUNDLESSINFORMANT includes electronic surveillance program records ([[DNI]]) and telephone call metadata records ([[DNR]]) stored in an NSA data archive called [[GM-PLACE]]. It does not include FISA data, according to the FAQ memo. [[PRISM]] (US-984XN), which was revealed at the same time as BOUNDLESSINFORMANT, is one source of DNR data. According to the map, BOUNDLESSINFORMANT summarizes data records from 504 separate DNR and DNI collection sources (SIGADs). In the map, countries that are under surveillance are assigned a color from green, representing least coverage to red, most intensive."
